timestamp,store,dept,feedback
2025-07-10T12:20:00.197336,1,1,Yes
2025-07-10T12:20:00.198288,1,2,Yes
2025-07-10T12:20:00.198917,2,1,Yes
2025-07-10T12:20:00.199426,2,2,Yes
2025-07-10T12:20:03.534032,1,1,No
2025-07-10T12:20:03.534849,1,2,Yes
2025-07-10T12:20:03.535507,2,1,Yes
2025-07-10T12:20:03.536039,2,2,Yes
2025-07-10T12:20:04.292691,1,1,Yes
2025-07-10T12:20:04.293506,1,2,Yes
2025-07-10T12:20:04.294224,2,1,Yes
2025-07-10T12:20:04.294833,2,2,Yes
2025-07-10T12:20:12.226504,1,1,Yes
2025-07-10T12:20:12.227565,1,2,No
2025-07-10T12:20:12.228410,2,1,Yes
2025-07-10T12:20:12.229161,2,2,Yes
2025-07-10T12:20:13.485741,1,1,Yes
2025-07-10T12:20:13.486365,1,2,Yes
2025-07-10T12:20:13.486949,2,1,Yes
2025-07-10T12:20:13.487566,2,2,Yes
2025-07-10T12:20:38.805787,1,1,Yes
2025-07-10T12:20:38.806557,1,2,Yes
2025-07-10T12:20:38.807446,2,1,Yes
2025-07-10T12:20:38.808488,2,2,Yes
2025-07-10T12:21:59.847131,1,1,Yes
2025-07-10T12:22:00.057976,1,2,Yes
2025-07-10T12:22:00.106216,2,1,Yes
2025-07-10T12:22:00.148423,2,2,Yes
2025-07-10T12:23:42.779629,1,1,Yes
2025-07-10T12:23:43.022515,1,2,Yes
2025-07-10T12:23:43.079893,2,1,Yes
2025-07-10T12:23:43.127906,2,2,Yes
2025-07-10T12:26:02.544050,1,1,No
2025-07-10T12:26:02.771344,1,2,No
2025-07-10T12:26:02.830912,2,1,Yes
2025-07-10T12:26:02.882195,2,2,No
2025-07-10T20:39:38.466143,1,1,No
2025-07-10T20:39:38.698654,1,2,Yes
2025-07-10T20:39:38.751878,2,1,No
2025-07-10T20:39:38.812253,2,2,Yes
2025-07-10T20:41:15.149632,1,1,No
2025-07-10T20:41:15.392409,1,2,Yes
2025-07-10T20:41:15.443981,2,1,Yes
2025-07-10T20:41:15.493558,2,2,Yes
2025-07-10T20:46:15.459083,1,1,Yes
2025-07-10T20:46:15.651432,1,2,Yes
2025-07-10T20:46:15.701732,2,1,Yes
2025-07-10T20:46:15.750041,2,2,Yes
2025-07-10T20:48:30.431803,1,1,Yes
2025-07-10T20:48:30.606697,1,2,No
2025-07-10T20:48:30.656570,2,1,Yes
2025-07-10T20:48:30.705514,2,2,Yes
